KCNTOMS,KBCDO23,ZINST58
0,99,156.1829833984375
2,99,156.18499755859375
5,99,156.18861389160156
8,99,156.19342041015625
10,99,156.1968231201172
13,99,156.20236206054688
16,99,156.2080841064453
19,99,156.21385192871094
22,99,156.21966552734375
24,99,156.22433471679688
27,99,156.23072814941406
30,99,156.2368621826172
33,99,156.24339294433594
35,99,156.24740600585938
38,99,156.25387573242188
41,99,156.26016235351562
44,99,156.26649475097656
46,99,156.2711639404297
49,99,156.27755737304688
52,99,156.2834014892578
