KCNTOMS,KBCDO23,ZINST58
0,99,156.1829833984375
2,99,156.18499755859375
4,99,156.18739318847656
7,99,155.52532958984375
10,98,154.70187377929688
13,97,154.15513610839844
15,96,153.8095245361328
18,96,153.26934814453125
21,96,152.72500610351562
24,96,152.2188720703125
26,96,151.92236328125
29,97,151.5561981201172
32,97,151.28785705566406
35,97,151.105224609375
37,97,151.02151489257812
40,97,150.93612670898438
43,97,150.8787078857422
46,96,150.8321990966797
48,96,150.8011474609375
51,96,150.74896240234375
