KCNTOMS,KBCDO23,ZINST58
0,99,156.1829833984375
1,99,156.18389892578125
4,99,156.18739318847656
7,95,150.85028076171875
9,91,147.6415252685547
12,86,144.2144775390625
15,78,141.6937255859375
18,65,139.22633361816406
21,51,136.03285217285156
23,43,133.41725158691406
26,33,129.20816040039062
29,26,125.12297821044922
32,21,121.17145538330078
34,18,118.61812591552734
37,15,114.96940612792969
40,12,111.57852172851562
43,10,108.45433044433594
45,9,106.51429748535156
48,8,103.80741882324219
51,7,101.3265609741211
