KCNTOMS,KBCDO23,ZINST58,Label
0,1,0.998172783,2
0.019230769,1,0.998189442,2
0.076923077,1,0.998253024,2
0.134615385,0.956521739,0.901138408,2
0.173076923,0.913043478,0.842751582,2
0.230769231,0.858695652,0.780392689,2
0.288461538,0.77173913,0.734524842,2
0.346153846,0.630434783,0.689627939,2
0.403846154,0.47826087,0.631519041,2
0.442307692,0.391304348,0.583925319,2
0.5,0.282608696,0.507336287,2
0.557692308,0.206521739,0.433001916,2
0.615384615,0.152173913,0.361099623,2
0.653846154,0.119565217,0.314638993,2
0.711538462,0.086956522,0.248246534,2
0.769230769,0.054347826,0.186545672,2
0.826923077,0.032608696,0.129697585,2
0.865384615,0.02173913,0.094396557,2
0.923076923,0.010869565,0.04514193,2
0.980769231,0,0,2
