KCNTOMS,KBCDO23,ZINST58,Label
0,1,0.998172783,0
0.038461538,1,0.998209433,0
0.096153846,1,0.998275236,0
0.153846154,1,0.998362696,0
0.192307692,1,0.998424612,0
0.25,1,0.998525399,0
0.307692308,1,0.998629518,0
0.365384615,1,0.998734469,0
0.423076923,1,0.998840254,0
0.461538462,1,0.998925215,0
0.519230769,1,0.999041551,0
0.576923077,1,0.999153166,0
0.634615385,1,0.999272001,0
0.673076923,1,0.999345023,0
0.730769231,1,0.999462746,0
0.788461538,1,0.999577138,0
0.846153846,1,0.999692363,0
0.884615385,1,0.999777324,0
0.942307692,1,0.99989366,0
1,1,1,0
