feature	importance
QPRATE	1.02265585e-05
USUBMA	1.0213235e-05
ZSGNOR3	1.011529e-05
XPMINJ	1.01136775e-05
QPROREL	1.0106475e-05
ZINST125	1.0040764e-05
UNRHXUT	1.0036716e-05
ZINST1	9.968231e-06
ZINST126	9.873044e-06
USWHXUT	9.768868e-06
WLPTC	9.733418e-06
UHOLEGM	9.589023e-06
ZINST96	9.502347e-06
FEIFWP	9.364674e-06
BDEV	9.363978e-06
ZINST44	8.894382e-06
CBVOLM	8.834119e-06
ZINST38	8.607952e-06
ZINST94	8.581392e-06
UFUEL25	8.284664e-06
UFUEL13	8.249028e-06
HLPTEX	8.243159e-06
UCOLEG3	8.151579e-06
QTHNOR	8.101292e-06
UAVLEG2	8.085043e-06
PLETIN	7.986156e-06
DENEUO	7.948028e-06
ZINST93	7.930315e-06
HHPTEX	7.913484e-06
QLOAD	7.716759e-06
PCDP	7.67879e-06
UFUEL12	7.54441e-06
XSEINP	7.204407e-06
PLPTIN	7.188604e-06
ZSGLS	7.0418164e-06
KLAMPO312	7.0226274e-06
WFWLN3	6.85382e-06
UFUEL1	6.845357e-06
CBORON	6.710669e-06
ZINST92	6.671419e-06
BFV122I	6.6204893e-06
PHDTK	6.603997e-06
UFUEL23	6.578036e-06
XPEOUT	6.47548e-06
UCOLEG2	6.4486103e-06
WCDTK	6.349712e-06
KMOVBNK	6.270741e-06
UHPDRNA	6.260074e-06
BHTV	6.138277e-06
ZINST56	6.1368405e-06
UFUEL21	6.066055e-06
ZINST70	6.06067e-06
KLAMPO78	6.056729e-06
HCVWL	5.97065e-06
ZPRZUN	5.9153663e-06
UFUEL3	5.912504e-06
ZINST75	5.8732385e-06
FFWP1	5.7411044e-06
UCHGUT	5.67972e-06
PSG3	5.5713585e-06
XPEINP	5.4344573e-06
PRHDRN	5.3817303e-06
KLAMPO68	5.34764e-06
ZINST100	5.257848e-06
ULPHOA	5.091146e-06
ZINST49	5.085477e-06
ZINST82	5.05377e-06
ZHDTK	5.0018466e-06
WLV616	4.811343e-06
ZINST35	4.797045e-06
QPRZP	4.613589e-06
UFWLN1	4.471943e-06
ZINST7	4.2873958e-06
XPIRM	4.26627e-06
ZINST57	3.963019e-06
WNETCH	3.8328185e-06
UFUEL5	3.81577e-06
UPRZ	3.795475e-06
ZCVLP	3.295301e-06
PVAC	3.0043582e-06
UFUEL7	2.8555337e-06
ZINST62	2.8457691e-06
UFUEL2	2.6796629e-06
KLAMPO308	2.472728e-06
UHDTCD	2.429207e-06
PLPHOUT	2.4263427e-06
PFWPOUT	2.3570035e-06
CBCVCS	2.2909041e-06
ZINST106	2.2776785e-06
CXENON	2.1835983e-06
PCTMT	1.9532124e-06
QPRZ	1.8620972e-06
ULPHCD	1.7383699e-06
UCHGIN	1.6935438e-06
ZINST114	1.684477e-06
UFUELM	1.6532668e-06
UCCWNR	1.6399181e-06
KHLV614	1.4891132e-06
UFWPOUT	1.477921e-06
PSG2	1.4470443e-06
ZINST91	1.3205163e-06
UFUEL16	1.233783e-06
ZHDTKL	1.0741699e-06
ECOND	9.0102657e-07
PHPHOUT	8.826282e-07
UOVER	8.580471e-07
PVCT	7.3839345e-07
UFUEL22	4.7007774e-07
ZINST78	4.2935383e-07
BFWBYI	2.4350783e-07
PPRZCO	1.8548236e-07
KLAMPO71	0.0
KLAMPO30	0.0
KLAMPO70	0.0
KLAMPO13	0.0
ZINST109	0.0
KLAMPO14	0.0
KLAMPO72	0.0
KLAMPO69	0.0
ZINST107	0.0
KLAMPO15	0.0
KLAMPO73	0.0
KLAMPO74	0.0
KLAMPO75	0.0
KLAMPO29	0.0
KLAMPO89	0.0
KLAMPO76	0.0
KLAMPO12	0.0
KLAMPO28	0.0
ZINST110	0.0
KLAMPO11	0.0
KLAMPO10	0.0
KLAMPO9	0.0
KLAMPO67	0.0
KLAMPO66	0.0
KLAMPO65	0.0
KLAMPO64	0.0
KLAMPO63	0.0
KLAMPO8	0.0
KLAMPO62	0.0
KLAMPO16	0.0
KLAMPO23	0.0
KLAMPO77	0.0
KLAMPO83	0.0
KLAMPO22	0.0
KLAMPO88	0.0
ZINST103	0.0
KLAMPO32	0.0
KLAMPO33	0.0
KLAMPO34	0.0
KLAMPO87	0.0
KLAMPO86	0.0
KLAMPO85	0.0
KLAMPO21	0.0
KLAMPO84	0.0
KLAMPO20	0.0
KLAMPO19	0.0
KLAMPO25	0.0
KLAMPO24	0.0
KLAMPO82	0.0
KLAMPO31	0.0
KLAMPO35	0.0
KLAMPO81	0.0
KLAMPO80	0.0
KLAMPO18	0.0
KLAMPO7	0.0
KLAMPO79	0.0
KLAMPO26	0.0
ZINST105	0.0
KLAMPO36	0.0
KLAMPO37	0.0
KLAMPO17	0.0
KLAMPO42	0.0
KLAMPO5	0.0
KLAMPO61	0.0
KLAMPO47	0.0
KBCDO5	0.0
KBCDO4	0.0
KBCDO3	0.0
KBCDO20	0.0
KBCDO21	0.0
KLAMPO48	0.0
KBCDO22	0.0
KBCDO2	0.0
KLAMPO49	0.0
KLAMPO50	0.0
KLAMPO51	0.0
KBCDO1	0.0
KLAMPO52	0.0
ZINST128	0.0
KLAMPO40	0.0
KBCDO6	0.0
KLAMPO46	0.0
KLAMPO6	0.0
KBCDO8	0.0
KBCDO17	0.0
KBCDO16	0.0
KBCDO15	0.0
KLAMPO41	0.0
KBCDO14	0.0
KLAMPO43	0.0
KBCDO13	0.0
KBCDO12	0.0
KBCDO19	0.0
KLAMPO44	0.0
KLAMPO27	0.0
KBCDO11	0.0
KBCDO10	0.0
KBCDO9	0.0
KLAMPO45	0.0
KLAMPO53	0.0
ZINST127	0.0
KLAMPO39	0.0
KBCDO23	0.0
ZINST116	0.0
ZINST115	0.0
KBCDO26	0.0
ZINST113	0.0
KBCDO27	0.0
KBCDO28	0.0
KBCDO29	0.0
KBCDO30	0.0
KBCDO31	0.0
KBCDO32	0.0
KLAMPO1	0.0
KLAMPO2	0.0
KLAMPO3	0.0
KLAMPO4	0.0
KBCDO18	0.0
KLAMPO60	0.0
ZINST117	0.0
ZINST118	0.0
ZINST124.1	0.0
KLAMPO54	0.0
KBCDO24	0.0
KLAMPO55	0.0
KLAMPO56	0.0
KBCDO25	0.0
KLAMPO57	0.0
ZINST123.1	0.0
ZINST119	0.0
KLAMPO58	0.0
ZINST123	0.0
ZINST122	0.0
KLAMPO59	0.0
KLAMPO38	0.0
ZINST120	0.0
KFIGIV	0.0
ZINST8	0.0
ZINST99	0.0
KEA11	0.0
KEF10U	0.0
KEE10L	0.0
KEE10R	0.0
KEC10R	0.0
KEC10L	0.0
KEJ9L	0.0
KEJ9R	0.0
KEC8R	0.0
KEF08	0.0
KEC8L	0.0
KED7R	0.0
KED7L	0.0
KEB7U	0.0
KEB7L	0.0
KEK6L	0.0
KEK6U	0.0
KEF6U	0.0
KEF6L	0.0
KED6R	0.0
KED6L	0.0
KEH5L	0.0
KEH5R	0.0
KEE5R	0.0
KEE5L	0.0
KEC4UR	0.0
KEF10L	0.0
KEJ13U	0.0
KEC4LR	0.0
KEJ13L	0.0
KED38L	0.0
KEA37R	0.0
KEA37L	0.0
KEC36R	0.0
KEC36L	0.0
KEA36R	0.0
KEA36L	0.0
KEB35L	0.0
KEB35R	0.0
KED34	0.0
KEB34	0.0
KED27	0.0
KEB27	0.0
KED26R	0.0
KED26L	0.0
KEC26R	0.0
KEC26L	0.0
KEA29	0.0
KEJ21U	0.0
KEJ21L	0.0
KEA20	0.0
KEK14U	0.0
KEK14L	0.0
KEK13U	0.0
KEK13L	0.0
KEC4UL	0.0
KEC4LL	0.0
KERA4	0.0
KELA3L	0.0
